old version;new version
HOM03D009205;5;4
HOM03D000808;5;4
HOM03D001428;3;2
HOM03D001868;3;2
HOM03D001233;2;1
HOM03D008502;4;3
HOM03D003292;4;3
HOM03D000762;3;2
HOM03D001456;2;1
HOM03D001096;4;3
HOM03D002165;3;2
HOM03D000620;4;3
HOM03D014085;3;2
HOM03D001322;4;2
HOM03D000459;3;4
HOM03D015378;3;2
HOM03D001259;3;2
HOM03D001240;4;3
HOM03D003420;4;3
HOM03D001372;3;2
HOM03D001105;4;3
HOM03D000467;3;2
HOM03D000747;5;4
HOM03D006643;1;2
HOM03D012109;2;1
HOM03D007675;2;1
HOM03D003391;2;1
HOM03D009481;2;1
HOM03D001301;3;1
HOM03D003086;5;6
HOM03D002356;2;1
HOM03D001708;3;2
HOM03D000774;4;3
HOM03D005125;2;1
HOM03D001244;3;2
HOM03D002569;2;1
HOM03D001186;5;3
HOM03D000419;5;3
HOM03D009887;4;3
HOM03D004016;2;1
HOM03D002596;4;3
HOM03D010223;2;1
HOM03D003589;2;1
HOM03D001091;4;3
HOM03D002605;3;2
HOM03D000955;5;4
HOM03D000679;7;4
HOM03D002650;4;3
HOM03D000485;4;3
HOM03D000730;7;6
HOM03D000669;4;3
HOM03D000708;3;2
HOM03D000869;6;3
HOM03D001058;4;3
HOM03D000858;3;2
HOM03D001646;3;2
HOM03D013138;4;3
HOM03D000503;3;2
HOM03D001422;3;2
HOM03D001576;3;2
HOM03D000481;4;3
HOM03D001901;3;2
HOM03D002365;2;1
HOM03D000724;5;4
HOM03D002977;2;1
HOM03D002189;3;2
HOM03D000942;4;2
HOM03D001539;4;3
HOM03D001048;3;2
HOM03D000710;3;2
HOM03D002965;3;2
HOM03D000379;3;2
HOM03D002402;2;1
HOM03D001860;2;1
HOM03D002889;3;2
HOM03D001074;4;3
HOM03D001179;4;3
HOM03D001746;3;2
HOM03D001247;2;1
HOM03D001197;3;2
HOM03D002332;3;2
HOM03D000720;5;3
HOM03D000202;3;2
HOM03D001261;5;4
HOM03D000702;4;3
HOM03D002224;2;1
HOM03D001657;3;2
HOM03D000760;5;4
HOM03D001396;3;2
HOM03D001494;4;3
HOM03D002363;4;3
HOM03D001046;4;3
HOM03D001485;4;3
HOM03D001444;3;2
HOM03D001626;3;2
HOM03D003560;2;1
HOM03D000521;4;3
HOM03D001846;4;3
HOM03D001734;2;1
HOM03D007673;2;1
HOM03D003632;2;1
HOM03D001380;2;1
HOM03D003375;2;1
HOM03D000581;4;3
HOM03D001068;3;2
HOM03D000666;4;3
HOM03D000926;3;2
HOM03D001194;4;3
HOM03D001082;2;1
HOM03D000243;4;3
HOM03D003264;3;2
HOM03D011444;2;1
HOM03D001814;2;1
HOM03D009978;6;5
HOM03D000785;3;2
HOM03D011188;3;2
HOM03D003270;2;1
HOM03D001013;3;2
HOM03D001499;6;4
HOM03D001394;3;2
HOM03D008381;2;1
HOM03D013362;3;2
HOM03D003695;3;2
HOM03D001277;4;3
HOM03D000613;4;3
HOM03D001404;3;2
HOM03D001319;2;1
HOM03D000639;5;3
HOM03D001420;3;2
HOM03D004220;2;1
HOM03D000682;6;5
HOM03D000486;4;3
HOM03D003640;2;1
HOM03D001433;3;2
HOM03D001938;2;1
HOM03D000968;3;2
HOM03D002117;4;3
HOM03D000719;2;1
HOM03D003838;3;2
HOM03D001314;3;2
HOM03D001256;5;4
HOM03D001424;3;2
HOM03D002732;2;1
HOM03D000462;5;4
HOM03D003306;2;1
HOM03D007215;6;5
HOM03D002902;2;1
HOM03D009447;4;2
HOM03D002146;3;2
HOM03D001658;3;2
HOM03D001648;2;1
HOM03D000574;3;2
HOM03D002016;2;1
HOM03D000994;4;3
HOM03D001446;5;4
HOM03D000526;3;2
HOM03D001622;3;2
HOM03D002021;2;1
HOM03D001006;4;3
HOM03D001562;1;2
HOM03D006690;3;2
HOM03D013485;2;1
HOM03D001487;3;2
HOM03D000571;3;2
HOM03D000781;3;2
HOM03D001000;3;4
HOM03D000590;3;2
HOM03D000917;6;5
HOM03D000675;4;3
HOM03D001529;3;2
HOM03D001985;5;4
HOM03D000935;2;1
HOM03D002565;2;1
HOM03D001088;4;2
HOM03D001012;5;4
HOM03D001682;5;3
HOM03D001767;2;1
HOM03D002497;3;2
HOM03D001803;4;3
HOM03D001079;1;2
HOM03D000880;4;3
HOM03D002366;2;1
HOM03D002647;2;1
HOM03D010752;3;2
HOM03D003672;2;1
HOM03D008005;7;6
HOM03D002158;8;6
HOM03D001990;4;3
HOM03D012857;3;2
HOM03D002316;4;3
HOM03D000959;4;3
HOM03D003471;2;1
HOM03D000382;2;1
HOM03D000892;3;2
HOM03D001520;2;1
HOM03D007343;4;3
HOM03D008199;3;2
HOM03D004766;3;2
HOM03D000355;4;2
HOM03D000599;4;3
HOM03D000940;3;2
HOM03D000600;5;4
HOM03D001148;4;3
HOM03D002681;3;2
HOM03D000901;3;2
HOM03D000562;5;4
HOM03D000933;3;2
HOM03D003322;2;1
HOM03D001069;4;3
HOM03D000367;5;3
HOM03D002222;2;1
HOM03D001094;3;4
HOM03D001750;3;2
HOM03D001937;2;1
HOM03D000415;6;4
HOM03D002362;3;2
HOM03D004763;2;1
HOM03D001841;4;3
HOM03D001056;4;3
HOM03D003552;2;1
HOM03D001182;3;2
HOM03D000515;2;3
HOM03D013567;2;1
HOM03D001291;3;2
HOM03D002191;2;1
HOM03D002667;3;2
HOM03D003144;2;1
HOM03D001289;3;2
HOM03D000841;5;4
HOM03D000818;3;2
HOM03D000479;4;3
HOM03D000699;6;5
HOM03D012728;3;2
HOM03D001947;3;2
HOM03D003714;2;1
HOM03D000879;5;3
HOM03D000795;3;2
HOM03D000656;5;4
HOM03D000695;9;6
HOM03D002204;4;3
HOM03D005354;2;1
HOM03D001608;2;1
HOM03D002266;3;2
HOM03D002243;2;1
HOM03D000911;2;1
HOM03D001214;3;2
HOM03D000807;4;3
HOM03D000900;4;3
HOM03D000559;5;4
HOM03D000924;3;2
HOM03D000626;4;3
